problem_id,language,starter_code
828d67e0-8a62-44a9-a0cd-dd5cebce7491,"Python","class Solution:\n    def twoSum(self, nums: List[int], target: int) -> List[int]:\n        pass"
828d67e0-8a62-44a9-a0cd-dd5cebce7491,"JavaScript","class Solution {\n  twoSum(nums, target) {\n  }\n}"
828d67e0-8a62-44a9-a0cd-dd5cebce7491,"Java","class Solution {\n    public int[] twoSum(int[] nums, int target) {\n        return new int[]{};\n    }\n}"
239493be-a2a1-4dac-afab-a4765ca8c0c6,"Python","class Solution:\n    def isValid(self, s: str) -> bool:\n        pass"
239493be-a2a1-4dac-afab-a4765ca8c0c6,"JavaScript","class Solution {\n  isValid(s) {\n  }\n}"
239493be-a2a1-4dac-afab-a4765ca8c0c6,"Java","class Solution {\n    public boolean isValid(String s) {\n        return false;\n    }\n}"
fdd61760-5a07-4825-bcbf-0e1df2cba052,"Python","class Solution:\n    def search(self, nums: List[int], target: int) -> int:\n        pass"
fdd61760-5a07-4825-bcbf-0e1df2cba052,"JavaScript","class Solution {\n  search(nums, target) {\n  }\n}"
fdd61760-5a07-4825-bcbf-0e1df2cba052,"Java","class Solution {\n    public int search(int[] nums, int target) {\n        return -1;\n    }\n}"
073b7b90-ec20-4a45-9892-a95ada1312a3,"Python","class Solution:\n    def floodFill(self, image: List[List[int]], sr: int, sc: int, color: int) -> List[List[int]]:\n        pass"
073b7b90-ec20-4a45-9892-a95ada1312a3,"JavaScript","class Solution {\n  floodFill(image, sr, sc, color) {\n  }\n}"
073b7b90-ec20-4a45-9892-a95ada1312a3,"Java","class Solution {\n    public int[][] floodFill(int[][] image, int sr, int sc, int color) {\n        return image;\n    }\n}"
dad094f4-e2e3-48dc-abe7-e5637ad0670b,"Python","class Solution:\n    def maxArea(self, height: List[int]) -> int:\n        pass"
dad094f4-e2e3-48dc-abe7-e5637ad0670b,"JavaScript","class Solution {\n  maxArea(height) {\n  }\n}"
dad094f4-e2e3-48dc-abe7-e5637ad0670b,"Java","class Solution {\n    public int maxArea(int[] height) {\n        return 0;\n    }\n}"
